team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2015 Kentucky,2015,Kentucky,SEC,1,10,7.39,8.79,S,Final Four
2019 Virginia,2019,Virginia,ACC,1,9.78,8.08,7.49,S,Champion
2019 Gonzaga,2019,Gonzaga,WCC,1,9.59,8.59,6.5,S,Elite Eight
2021 Gonzaga,2021,Gonzaga,WCC,1,9.58,8.9,6.4,S,Runner Up
2008 Kansas,2008,Kansas,Big 12,1,9.52,7.85,7.5,S,Champion
2018 Villanova,2018,Villanova,Big East,1,9.46,9.2,5.64,S,Champion
2015 Wisconsin,2015,Wisconsin,Big 10,1,9.45,8.25,6.82,S,Runner Up
2010 Duke,2010,Duke,ACC,1,9.44,7.65,7.3,S,Champion
2011 Ohio St.,2011,Ohio St.,Big 10,1,9.39,7.99,6.96,S,Sweet 16
2024 Houston,2024,Houston,Big 12,1,9.34,6.61,8.66,A,Sweet 16
2010 Kansas,2010,Kansas,Big 12,1,9.31,7.84,6.96,S,Second Round
2013 Florida,2013,Florida,SEC,3,9.29,6.59,8.4,B,Elite Eight
2019 Duke,2019,Duke,ACC,1,9.29,7.41,7.39,S,Elite Eight
2015 Duke,2015,Duke,ACC,1,9.28,8.94,5.62,S,Champion
2022 Gonzaga,2022,Gonzaga,WCC,1,9.25,7.95,6.8,S,Sweet 16
2017 Gonzaga,2017,Gonzaga,WCC,1,9.23,7.46,7.3,S,Runner Up
2013 Louisville,2013,Louisville,Big East,1,9.2,6.55,8.24,S,Champion
2018 Virginia,2018,Virginia,ACC,1,9.15,6.24,8.56,S,First Round
2012 Kentucky,2012,Kentucky,SEC,1,9.11,7.64,6.89,S,Champion
2009 North Carolina,2009,North Carolina,ACC,1,9.09,9.31,4.79,S,Champion
2017 Villanova,2017,Villanova,Big East,1,9.07,7.95,6.4,S,Second Round
2015 Arizona,2015,Arizona,Pac 12,2,9.06,7.02,7.46,S,Elite Eight
2021 Baylor,2021,Baylor,Big 12,1,9.04,8.38,5.84,S,Champion
2014 Louisville,2014,Louisville,AAC,4,9.04,7.29,7.17,S,Sweet 16
2013 Indiana,2013,Indiana,Big 10,1,9.03,8.25,6.11,S,Sweet 16
2012 Ohio St.,2012,Ohio St.,Big 10,2,9.03,7,7.45,S,Final Four
2019 Michigan St.,2019,Michigan St.,Big 10,2,9.01,7.55,6.68,S,Final Four
2015 Virginia,2015,Virginia,ACC,2,9,5.2,9.51,S,Second Round
2023 Houston,2023,Houston,AAC,1,8.99,6.99,7.3,S,Sweet 16
2015 Villanova,2015,Villanova,Big East,1,8.93,7.66,6.5,S,Second Round
2018 Duke,2018,Duke,ACC,2,8.89,8.06,5.99,S,Elite Eight
2011 Kansas,2011,Kansas,Big 12,1,8.89,7.79,6.32,S,Elite Eight
2008 North Carolina,2008,North Carolina,ACC,1,8.89,8.88,4.98,S,Final Four
2008 UCLA,2008,UCLA,Pac 12,1,8.87,6.64,7.58,S,Final Four
2008 Memphis,2008,Memphis,CUSA,1,8.86,6.71,7.56,S,Runner Up
2011 Duke,2011,Duke,ACC,1,8.82,7.7,6.29,S,Sweet 16
2016 Villanova,2016,Villanova,Big East,2,8.77,6.91,7.03,S,Champion
2016 Kansas,2016,Kansas,Big 12,1,8.76,7.65,6.24,S,Elite Eight
2017 North Carolina,2017,North Carolina,ACC,1,8.76,7.73,6.13,S,Champion
2019 North Carolina,2019,North Carolina,ACC,1,8.76,7.35,6.53,S,Sweet 16
2022 Houston,2022,Houston,AAC,5,8.75,6.93,6.95,S,Elite Eight
2009 Memphis,2009,Memphis,CUSA,2,8.75,5.65,8.59,S,Sweet 16
2014 Florida,2014,Florida,SEC,1,8.73,5.96,8,S,Final Four
2016 Michigan St.,2016,Michigan St.,Big 10,2,8.72,7.69,6.04,S,First Round
2016 Virginia,2016,Virginia,ACC,1,8.71,6.18,7.76,S,Elite Eight
2021 Houston,2021,Houston,AAC,2,8.68,7.13,6.74,B,Final Four
2014 Arizona,2014,Arizona,Pac 12,1,8.68,5.95,8.11,S,Elite Eight
2009 Pittsburgh,2009,Pittsburgh,Big East,1,8.68,7.63,6.16,S,Elite Eight
2023 Alabama,2023,Alabama,SEC,1,8.67,6.41,7.42,S,Sweet 16
2009 Connecticut,2009,Connecticut,Big East,1,8.67,6.95,6.88,S,Final Four
2021 Illinois,2021,Illinois,Big 10,1,8.65,7.01,6.75,S,Second Round
2019 Michigan,2019,Michigan,Big 10,2,8.65,6.05,7.95,S,Sweet 16
2010 Syracuse,2010,Syracuse,Big East,1,8.65,7.53,6.13,S,Sweet 16
2021 Michigan,2021,Michigan,Big 10,1,8.64,7.07,6.66,S,Elite Eight
2016 North Carolina,2016,North Carolina,ACC,1,8.64,8.02,5.48,S,Runner Up
2018 Purdue,2018,Purdue,Big 10,2,8.64,8.07,5.59,S,Sweet 16
2019 Texas Tech,2019,Texas Tech,Big 12,3,8.6,5.64,8.16,S,Runner Up
2008 Duke,2008,Duke,ACC,2,8.59,7.56,6.05,S,Second Round
2018 Cincinnati,2018,Cincinnati,AAC,2,8.56,5.63,8.06,S,Second Round
2012 Michigan St.,2012,Michigan St.,Big 10,1,8.56,6.12,7.6,S,Sweet 16
2019 Kentucky,2019,Kentucky,SEC,2,8.55,6.88,6.6,S,Elite Eight
2011 Pittsburgh,2011,Pittsburgh,Big East,1,8.55,7,6.53,S,Second Round
2023 Connecticut,2023,Connecticut,Big East,4,8.53,7.22,6.22,S,Champion
2024 Arizona,2024,Arizona,Pac 12,2,8.52,7.23,6.43,A,Elite Eight
2014 Duke,2014,Duke,ACC,3,8.51,8.59,4.82,B,First Round
2023 UCLA,2023,UCLA,Pac 12,2,8.51,6.11,7.5,S,Sweet 16
2017 Florida,2017,Florida,SEC,4,8.49,6.47,7.06,S,Elite Eight
2017 Kansas,2017,Kansas,Big 12,1,8.48,7.73,5.62,S,Elite Eight
2024 Purdue,2024,Purdue,Big 10,1,8.48,7.95,5.75,S,Champion
2021 Iowa,2021,Iowa,Big 10,2,8.46,8.49,4.83,B,Second Round
2009 Duke,2009,Duke,ACC,2,8.46,7.15,6.18,S,Sweet 16
2017 Kentucky,2017,Kentucky,SEC,2,8.46,7.11,6.36,S,Elite Eight
2017 Louisville,2017,Louisville,ACC,2,8.46,6.5,6.98,S,Second Round
2022 Baylor,2022,Baylor,Big 12,1,8.45,7,6.41,S,Second Round
2022 Arizona,2022,Arizona,Pac 12,1,8.44,7.24,6.09,S,Sweet 16
2012 Syracuse,2012,Syracuse,Big East,1,8.44,6.7,6.66,S,Elite Eight
2017 West Virginia,2017,West Virginia,Big 12,4,8.44,6.49,6.97,S,Sweet 16
2013 Duke,2013,Duke,ACC,2,8.43,7.52,5.79,S,Elite Eight
2018 Michigan St.,2018,Michigan St.,Big 10,3,8.42,7.26,6.02,S,Second Round
2023 Tennessee,2023,Tennessee,SEC,4,8.41,5.5,7.95,C,Sweet 16
2013 Gonzaga,2013,Gonzaga,WCC,1,8.41,7.44,6,S,Second Round
2022 Kentucky,2022,Kentucky,SEC,2,8.41,7.44,5.8,S,First Round
2017 Virginia,2017,Virginia,ACC,5,8.39,5.76,7.82,B,Second Round
2015 Gonzaga,2015,Gonzaga,WCC,2,8.39,7.71,5.6,S,Elite Eight
2019 Tennessee,2019,Tennessee,SEC,2,8.37,7.87,5.39,S,Sweet 16
2022 Tennessee,2022,Tennessee,SEC,3,8.37,5.58,7.78,S,Second Round
2022 Kansas,2022,Kansas,Big 12,1,8.36,7.4,5.85,S,Champion
2017 Duke,2017,Duke,ACC,2,8.34,7.73,5.42,S,Second Round
2008 Wisconsin,2008,Wisconsin,Big 10,3,8.34,5.04,8.57,S,Sweet 16
2009 Louisville,2009,Louisville,Big East,1,8.33,5.5,7.96,S,Elite Eight
2012 North Carolina,2012,North Carolina,ACC,1,8.33,7.45,5.72,S,Elite Eight
2019 Purdue,2019,Purdue,Big 10,3,8.33,7.73,5.38,S,Elite Eight
2015 North Carolina,2015,North Carolina,ACC,4,8.29,7.84,5.19,A,Sweet 16
2008 Georgetown,2008,Georgetown,Big East,2,8.27,5.57,7.7,A,Second Round
2010 Kentucky,2010,Kentucky,SEC,1,8.26,6.79,6.28,A,Elite Eight
2015 Utah,2015,Utah,Pac 12,5,8.25,5.91,7.38,B,Sweet 16
2013 Kansas,2013,Kansas,Big 12,1,8.25,6.29,6.93,S,Sweet 16
2022 Villanova,2022,Villanova,Big East,2,8.24,7.08,5.87,A,Final Four
2012 Kansas,2012,Kansas,Big 12,2,8.24,6.39,6.81,S,Runner Up
2014 Virginia,2014,Virginia,ACC,1,8.23,4.8,8.52,S,Sweet 16
2011 Texas,2011,Texas,Big 12,4,8.22,6.2,7,S,Second Round
2016 West Virginia,2016,West Virginia,Big 12,3,8.21,6.57,6.52,S,First Round
2010 West Virginia,2010,West Virginia,Big East,2,8.19,6.53,6.47,S,Final Four
2012 Missouri,2012,Missouri,Big 12,2,8.18,8.53,4.4,B,First Round
2009 West Virginia,2009,West Virginia,Big East,6,8.18,5.94,7.12,B,First Round
2011 Kentucky,2011,Kentucky,SEC,4,8.18,6.81,6.23,S,Final Four
2010 Ohio St.,2010,Ohio St.,Big 10,2,8.18,6.63,6.35,S,Sweet 16
2017 Oregon,2017,Oregon,Pac 12,3,8.17,7,5.83,A,Final Four
2013 Pittsburgh,2013,Pittsburgh,Big East,8,8.16,5.76,7.23,B,First Round
2023 Texas,2023,Texas,Big 12,2,8.14,6.46,6.42,A,Elite Eight
2022 Texas Tech,2022,Texas Tech,Big 12,3,8.14,5.2,7.92,A,Sweet 16
2011 Purdue,2011,Purdue,Big 10,3,8.14,6.06,6.92,S,Second Round
2022 Duke,2022,Duke,ACC,2,8.13,7.59,5.25,A,Final Four
2017 Saint Mary's,2017,Saint Mary's,WCC,7,8.13,7.25,5.56,C,Second Round
2016 Kentucky,2016,Kentucky,SEC,4,8.13,7.58,5.33,S,Second Round
2010 Wisconsin,2010,Wisconsin,Big 10,4,8.12,5.36,7.76,B,Second Round
2011 Wisconsin,2011,Wisconsin,Big 10,4,8.12,6.48,6.51,S,Sweet 16
2024 Alabama,2024,Alabama,SEC,5,8.11,8.26,4.72,A,Final Four
2017 Wichita St.,2017,Wichita St.,MVC,10,8.11,6.62,6.27,B,Second Round
2019 Virginia Tech,2019,Virginia Tech,ACC,4,8.1,7.04,5.76,A,Sweet 16
2014 Villanova,2014,Villanova,Big East,2,8.1,6.63,6.19,S,Second Round
2013 Michigan,2013,Michigan,Big 10,4,8.09,7.55,5.23,A,Runner Up
2022 UCLA,2022,UCLA,Pac 12,4,8.08,6.58,6.21,A,Sweet 16
2018 North Carolina,2018,North Carolina,ACC,2,8.08,7.56,5.2,S,Second Round
2013 Ohio St.,2013,Ohio St.,Big 10,2,8.08,6.07,6.85,S,Elite Eight
2009 Gonzaga,2009,Gonzaga,WCC,4,8.07,7.21,5.62,B,Sweet 16
2014 Kansas,2014,Kansas,Big 12,2,8.06,7.46,5.28,S,Second Round
2024 Auburn,2024,Auburn,SEC,6,8.05,6.9,6.02,A,Sweet 16
2018 Kansas,2018,Kansas,Big 12,1,8.05,7.65,5.09,B,Final Four
2017 Purdue,2017,Purdue,Big 10,4,8.04,6.64,6.11,A,Sweet 16
2016 Purdue,2016,Purdue,Big 10,5,8.03,6.48,6.27,C,First Round
2011 San Diego St.,2011,San Diego St.,MWC,2,8.03,5.81,7.01,S,Sweet 16
2017 SMU,2017,SMU,AAC,6,8.03,7.28,5.45,S,First Round
2017 UCLA,2017,UCLA,Pac 12,3,8.02,8.33,4.2,B,Sweet 16
2019 Auburn,2019,Auburn,SEC,5,8.01,7.3,5.32,B,Final Four
2012 Wisconsin,2012,Wisconsin,Big 10,4,8.01,4.52,8.43,C,Sweet 16
2022 Auburn,2022,Auburn,SEC,2,7.98,5.8,6.94,A,Second Round
2023 Purdue,2023,Purdue,Big 10,1,7.98,6.99,5.75,A,First Round
2014 Wisconsin,2014,Wisconsin,Big 10,2,7.98,7.08,5.62,A,Final Four
2008 Louisville,2008,Louisville,Big East,3,7.98,5.62,7.16,C,Elite Eight
2009 Missouri,2009,Missouri,Big 12,3,7.97,7.03,5.57,A,Elite Eight
2015 Notre Dame,2015,Notre Dame,ACC,3,7.97,8.39,4.17,B,Elite Eight
2022 Purdue,2022,Purdue,Big 10,3,7.97,7.98,4.57,B,Sweet 16
2018 Gonzaga,2018,Gonzaga,WCC,4,7.95,7.08,5.46,C,Sweet 16
2017 Baylor,2017,Baylor,Big 12,3,7.95,6.52,6.12,S,Sweet 16
2008 Tennessee,2008,Tennessee,SEC,2,7.93,7.46,5.03,B,Sweet 16
2024 Tennessee,2024,Tennessee,SEC,2,7.93,6.15,6.52,B,Elite Eight
2016 Oklahoma,2016,Oklahoma,Big 12,2,7.92,6.95,5.63,A,Final Four
2024 Iowa St.,2024,Iowa St.,Big 12,6,7.92,5.73,7.04,C,Sweet 16
2013 Wisconsin,2013,Wisconsin,Big 10,5,7.91,4.49,8.34,C,First Round
2019 Houston,2019,Houston,AAC,3,7.9,6.11,6.44,A,Sweet 16
2014 Michigan St.,2014,Michigan St.,Big 10,4,7.9,6.81,5.72,A,Elite Eight
2014 Creighton,2014,Creighton,Big East,3,7.89,8.33,4.2,B,Second Round
2010 Kansas St.,2010,Kansas St.,Big 12,2,7.88,6.89,5.71,A,Elite Eight
2022 Iowa,2022,Iowa,Big 10,5,7.88,7.79,4.62,B,First Round
2010 Baylor,2010,Baylor,Big 12,3,7.86,6.96,5.48,A,Elite Eight
2016 Indiana,2016,Indiana,Big 10,5,7.86,7.61,4.75,B,Sweet 16
2014 Michigan,2014,Michigan,Big 10,2,7.86,7.42,5.04,B,Elite Eight
2017 Michigan,2017,Michigan,Big 10,7,7.86,7.77,4.62,B,Sweet 16
2023 Gonzaga,2023,Gonzaga,WCC,3,7.85,8.17,4.25,B,Second Round
2014 Wichita St.,2014,Wichita St.,MVC,1,7.85,6.05,6.46,S,Second Round
2018 West Virginia,2018,West Virginia,Big 12,5,7.84,7.06,5.36,B,Sweet 16
2015 Ohio St.,2015,Ohio St.,Big 10,10,7.84,6.54,5.8,C,Second Round
2024 North Carolina,2024,North Carolina,ACC,2,7.84,6.51,6.02,S,Runner Up
2021 Alabama,2021,Alabama,SEC,2,7.83,5.42,7.17,A,Sweet 16
2009 Villanova,2009,Villanova,Big East,3,7.83,6.45,5.89,A,Final Four
2021 Ohio St.,2021,Ohio St.,Big 10,2,7.83,7.65,4.77,B,First Round
2008 West Virginia,2008,West Virginia,Big East,7,7.82,6.21,6.12,C,Sweet 16
2009 Kansas,2009,Kansas,Big 12,3,7.81,6.37,6.08,A,Sweet 16
2018 Michigan,2018,Michigan,Big 10,3,7.81,6.06,6.33,A,Runner Up
2016 Duke,2016,Duke,ACC,4,7.81,7.86,4.44,B,Sweet 16
2010 BYU,2010,BYU,MWC,7,7.81,7.31,5.05,C,Second Round
2024 Connecticut,2024,Connecticut,Big East,1,7.8,7.78,4.64,S,Final Four
2013 Syracuse,2013,Syracuse,Big East,4,7.79,5.99,6.46,A,Final Four
2010 Villanova,2010,Villanova,Big East,2,7.79,7.81,4.43,B,Second Round
2010 Georgetown,2010,Georgetown,Big East,3,7.79,6.46,5.9,C,First Round
2011 Notre Dame,2011,Notre Dame,Big East,2,7.78,7.45,4.95,A,Second Round
2012 Indiana,2012,Indiana,Big 10,4,7.78,7.55,4.71,B,Sweet 16
2010 Maryland,2010,Maryland,ACC,4,7.78,7.18,5.04,B,Second Round
2010 Purdue,2010,Purdue,Big 10,4,7.78,5.26,7.25,B,Sweet 16
2009 UCLA,2009,UCLA,Pac 12,6,7.78,7.35,5.11,B,Second Round
2008 Texas,2008,Texas,Big 12,2,7.76,7.17,5.23,A,Elite Eight
2024 Duke,2024,Duke,ACC,3,7.76,7.22,5.02,B,Sweet 16
2014 Pittsburgh,2014,Pittsburgh,ACC,9,7.76,6.36,5.97,C,Second Round
2015 Kansas,2015,Kansas,Big 12,2,7.75,6.28,6.05,A,Second Round
2011 North Carolina,2011,North Carolina,ACC,2,7.75,6.2,6.07,A,Elite Eight
2009 Oklahoma,2009,Oklahoma,Big 12,2,7.75,7.12,5.16,A,Elite Eight
2017 Wisconsin,2017,Wisconsin,Big Ten,8,7.75,5.87,6.49,A,Sweet 16
2017 Iowa St.,2017,Iowa St.,Big 12,5,7.75,7.09,5.19,B,Second Round
2008 Washington St.,2008,Washington St.,Pac 12,4,7.75,5.2,7.28,C,Sweet 16
2024 Creighton,2024,Creighton,Big East,7,7.75,6.75,5.54,C,Second Round
2023 Kansas,2023,Kansas,Big 12,1,7.74,5.97,6.35,A,Second Round
2008 Stanford,2008,Stanford,Pac 12,3,7.74,5.54,6.9,A,Sweet 16
2021 Villanova,2021,Villanova,Big East,5,7.74,7.24,4.95,B,Sweet 16
2018 Texas Tech,2018,Texas Tech,Big 12,3,7.74,5.72,6.63,C,Elite Eight
2017 Cincinnati,2017,Cincinnati,AAC,6,7.73,5.97,6.36,A,Second Round
2008 Clemson,2008,Clemson,ACC,5,7.73,6.5,5.79,C,First Round
2017 Arizona,2017,Arizona,Pac 12,2,7.72,6.69,5.55,A,Sweet 16
2015 Oklahoma,2015,Oklahoma,Big 12,3,7.72,5.65,6.79,C,Sweet 16
2011 Syracuse,2011,Syracuse,Big East,3,7.7,6.01,6.23,A,Second Round
2019 Wisconsin,2019,Wisconsin,Big 10,5,7.7,5.12,7.27,A,First Round
2023 Arizona,2023,Arizona,Pac 12,2,7.69,7.2,5.03,A,First Round
2012 Wichita St.,2012,Wichita St.,MVC,5,7.69,6.64,5.62,C,First Round
2021 USC,2021,USC,Pac 12,6,7.67,5.85,6.43,A,Elite Eight
2011 BYU,2011,BYU,MWC,3,7.67,7.46,4.63,B,Sweet 16
2018 Xavier,2018,Xavier,Big East,1,7.67,7.49,4.67,B,Second Round
2012 Memphis,2012,Memphis,CUSA,8,7.67,6.38,5.76,C,First Round
2008 Xavier,2008,Xavier,A10,3,7.66,6.39,5.82,C,Elite Eight
2019 Florida St.,2019,Florida St.,ACC,4,7.65,5.57,6.6,A,Sweet 16
2009 Michigan St.,2009,Michigan St.,Big 10,2,7.65,5.9,6.3,A,Runner Up
2018 Tennessee,2018,Tennessee,SEC,3,7.65,5.89,6.31,A,Second Round
2012 Florida,2012,Florida,SEC,7,7.65,7.64,4.44,B,Elite Eight
2016 Arizona,2016,Arizona,Pac 12,6,7.65,6.81,5.26,C,First Round
2014 Tennessee,2014,Tennessee,SEC,11,7.65,5.87,6.36,C,Sweet 16
2013 Michigan St.,2013,Michigan St.,Big 10,3,7.64,5.17,7.13,A,Sweet 16
2013 Georgetown,2013,Georgetown,Big East,2,7.64,4.33,8.16,B,First Round
2024 BYU,2024,BYU,Big 12,10,7.64,6.33,5.92,C,Second Round
2019 Iowa St.,2019,Iowa St.,Big 12,6,7.63,6.94,5.15,B,First Round
2011 Louisville,2011,Louisville,Big East,4,7.63,5.78,6.42,B,First Round
2015 Baylor,2015,Baylor,Big 12,3,7.63,5.97,6.27,C,First Round
2008 Marquette,2008,Marquette,Big East,6,7.63,6.1,6.1,C,Second Round
2012 Duke,2012,Duke,ACC,2,7.62,7.33,4.67,B,First Round
2015 Louisville,2015,Louisville,ACC,4,7.62,4.9,7.39,B,Sweet 16
2017 Florida St.,2017,Florida St.,ACC,3,7.61,6.41,5.7,A,Second Round
2014 Kentucky,2014,Kentucky,SEC,8,7.61,6.57,5.45,C,Runner Up
2013 Miami FL,2013,Miami FL,ACC,2,7.59,5.36,6.81,A,Sweet 16
2014 Syracuse,2014,Syracuse,ACC,3,7.59,5.23,6.98,A,Second Round
2015 Iowa St.,2015,Iowa St.,Big 12,3,7.59,7.65,4.3,B,First Round
2016 Wichita St.,2016,Wichita St.,MVC,11,7.59,5.05,7.14,C,Second Round
2016 Miami FL,2016,Miami FL,ACC,3,7.58,6.58,5.54,A,Sweet 16
2016 Xavier,2016,Xavier,Big East,2,7.58,6.91,5.12,A,Second Round
2021 Virginia,2021,Virginia,ACC,4,7.58,6.33,5.7,C,First Round
2021 Loyola Chicago,2021,Loyola Chicago,MVC,8,7.57,5.19,7.04,C,Sweet 16
2024 Wisconsin,2024,Wisconsin,Big 10,2,7.57,6.92,5.16,S,Elite Eight
2014 Oklahoma St.,2014,Oklahoma St.,Big 12,9,7.56,6.8,5.18,B,First Round
2009 Arizona St.,2009,Arizona St.,Pac 12,6,7.56,5.97,6.23,C,Second Round
2023 Creighton,2023,Creighton,Big East,6,7.56,6.24,5.76,C,Elite Eight
2008 Davidson,2008,Davidson,Southern,10,7.55,6.23,5.68,B,Elite Eight
2014 UCLA,2014,UCLA,Pac 12,4,7.55,7.39,4.52,B,Sweet 16
2013 Arizona,2013,Arizona,Pac 12,6,7.55,6.31,5.63,C,Sweet 16
2021 Texas Tech,2021,Texas Tech,Big 12,6,7.55,5.63,6.4,C,Second Round
2014 Iowa,2014,Iowa,Big 10,11,7.54,7.74,4.18,B,First Round
2014 Ohio St.,2014,Ohio St.,Big 10,6,7.54,4.54,7.69,B,First Round
2009 Syracuse,2009,Syracuse,Big East,3,7.54,7.38,4.51,B,Sweet 16
2011 Florida,2011,Florida,SEC,2,7.53,6.26,5.64,A,Elite Eight
2017 Notre Dame,2017,Notre Dame,ACC,5,7.53,7.14,4.84,B,Second Round
2009 Purdue,2009,Purdue,Big 10,5,7.53,5.16,7.01,C,Sweet 16
2015 Wichita St.,2015,Wichita St.,MVC,7,7.53,5.75,6.34,C,Sweet 16
2024 Illinois,2024,Illinois,Big 10,3,7.53,6.57,5.44,C,Second Round
2023 Marquette,2023,Marquette,Big East,2,7.52,6.98,5,B,Second Round
2011 Washington,2011,Washington,Pac 12,7,7.52,7.45,4.41,B,Second Round
2010 Texas,2010,Texas,Big 12,8,7.52,6.77,5.11,C,First Round
2019 Kansas,2019,Kansas,Big 12,4,7.51,5.78,6.17,A,Second Round
2013 Creighton,2013,Creighton,MVC,7,7.51,6.95,5,B,Second Round
2018 Ohio St.,2018,Ohio St.,Big 10,5,7.51,6.31,5.7,C,Second Round
2021 Wisconsin,2021,Wisconsin,Big 10,9,7.51,5.56,6.48,C,Second Round
2015 Michigan St.,2015,Michigan St.,Big 10,7,7.49,6.28,5.68,C,Final Four
2024 Baylor,2024,Baylor,Big 12,3,7.48,7.55,4.29,B,Sweet 16
2013 VCU,2013,VCU,A10,5,7.48,6.36,5.51,C,Second Round
2021 Colorado,2021,Colorado,Pac 12,5,7.47,6.15,5.84,C,First Round
2022 Texas,2022,Texas,Big 12,6,7.47,5.5,6.44,C,Second Round
2008 Michigan St.,2008,Michigan St.,Big 10,5,7.46,5.9,6.02,A,Sweet 16
2016 Oregon,2016,Oregon,Pac 12,1,7.45,6.85,4.99,B,Elite Eight
2019 Wofford,2019,Wofford,Southern,7,7.44,6.91,4.81,B,Second Round
2016 Texas A&M,2016,Texas A&M,SEC,3,7.43,5.73,6.18,A,Sweet 16
2009 Clemson,2009,Clemson,ACC,7,7.43,6.92,4.83,B,First Round
2021 Arkansas,2021,Arkansas,SEC,3,7.43,5.47,6.39,C,Elite Eight
2021 Florida St.,2021,Florida St.,ACC,4,7.43,6.35,5.57,C,Sweet 16
2021 Tennessee,2021,Tennessee,SEC,5,7.42,4.93,7.04,C,First Round
2012 Georgetown,2012,Georgetown,Big East,3,7.41,4.92,7.02,B,Second Round
2019 Louisville,2019,Louisville,ACC,7,7.41,5.84,5.98,C,First Round
2016 Vanderbilt,2016,Vanderbilt,SEC,11,7.41,5.88,5.97,C,First Round
2018 Wichita St.,2018,Wichita St.,AAC,4,7.4,7.52,4.17,B,First Round
2023 Baylor,2023,Baylor,Big 12,3,7.4,7.59,4.17,C,Second Round
2018 Clemson,2018,Clemson,ACC,5,7.4,5.66,6.07,C,Sweet 16
2022 Illinois,2022,Illinois,Big 10,4,7.4,5.99,5.82,C,Second Round
2017 Butler,2017,Butler,Big East,4,7.39,6.76,4.98,B,Sweet 16
2010 Missouri,2010,Missouri,Big 12,10,7.39,5.83,5.95,C,Second Round
2021 Creighton,2021,Creighton,Big East,5,7.38,6.23,5.49,C,Sweet 16
2016 Iowa,2016,Iowa,Big 10,7,7.37,6.34,5.42,B,Second Round
2017 Oklahoma St.,2017,Oklahoma St.,Big 12,10,7.37,8.14,3.66,B,First Round
2021 Connecticut,2021,Connecticut,Big East,7,7.37,5.84,5.98,C,First Round
