team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2018 Houston,2018,Houston,AAC,6,7.36,6.12,5.59,C,Second Round
2012 New Mexico,2012,New Mexico,MWC,5,7.36,5.33,6.44,C,Second Round
2022 LSU,2022,LSU,SEC,6,7.35,4.46,7.36,C,First Round
2023 Saint Mary's,2023,Saint Mary's,WCC,5,7.35,5.42,6.48,C,Second Round
2012 Baylor,2012,Baylor,Big 12,3,7.34,6.45,5.23,B,Elite Eight
2010 Clemson,2010,Clemson,ACC,7,7.34,5.44,6.33,C,First Round
2016 Iowa St.,2016,Iowa St.,Big 12,4,7.33,7.77,3.84,B,Sweet 16
2016 Maryland,2016,Maryland,Big 10,5,7.33,6.11,5.55,B,Sweet 16
2012 Marquette,2012,Marquette,Big East,3,7.33,6.27,5.33,C,Sweet 16
2013 Minnesota,2013,Minnesota,Big 10,11,7.33,5.78,5.94,C,Second Round
2010 Utah St.,2010,Utah St.,WAC,12,7.33,5.75,5.99,C,First Round
2010 Xavier,2010,Xavier,A10,6,7.32,6.87,4.7,C,Sweet 16
2024 Marquette,2024,Marquette,Big East,4,7.32,6.03,5.71,C,Second Round
2009 Wake Forest,2009,Wake Forest,ACC,4,7.31,6.35,5.26,A,First Round
2014 Gonzaga,2014,Gonzaga,WCC,8,7.31,5.99,5.69,B,Second Round
2014 Iowa St.,2014,Iowa St.,Big 12,3,7.31,7.31,4.2,B,Sweet 16
2019 LSU,2019,LSU,SEC,3,7.31,6.82,4.83,B,Sweet 16
2021 San Diego St.,2021,San Diego St.,MWC,6,7.31,5.29,6.53,C,First Round
2008 Pittsburgh,2008,Pittsburgh,Big East,4,7.3,6.32,5.29,C,Second Round
2009 Xavier,2009,Xavier,A10,4,7.3,5.36,6.28,C,Sweet 16
2019 Mississippi St.,2019,Mississippi St.,SEC,5,7.29,6.67,4.92,B,First Round
2011 West Virginia,2011,West Virginia,Big East,5,7.29,5.47,6.21,C,Second Round
2023 San Diego St.,2023,San Diego St.,MWC,5,7.28,5.27,6.47,A,Runner Up
2018 Kentucky,2018,Kentucky,SEC,5,7.28,6.23,5.36,B,Sweet 16
2014 San Diego St.,2014,San Diego St.,MWC,4,7.28,4.42,7.33,B,Sweet 16
2012 Vanderbilt,2012,Vanderbilt,SEC,5,7.28,6.24,5.38,B,Second Round
2010 California,2010,California,Pac 12,8,7.27,7.47,4.14,B,Second Round
2019 Kansas St.,2019,Kansas St.,Big 12,4,7.27,4.39,7.39,B,First Round
2014 VCU,2014,VCU,A10,5,7.27,5.18,6.47,C,First Round
2009 Washington,2009,Washington,Pac 12,4,7.27,6.54,5.04,C,Second Round
2010 Marquette,2010,Marquette,Big East,6,7.26,5.92,5.67,B,First Round
2021 Texas,2021,Texas,Big 12,3,7.26,5.89,5.73,C,First Round
2011 Belmont,2011,Belmont,ASUN,13,7.24,6.01,5.46,C,First Round
2022 Connecticut,2022,Connecticut,Big East,5,7.24,6,5.49,C,First Round
2011 Illinois,2011,Illinois,Big 10,9,7.24,5.71,5.93,C,Second Round
2010 Temple,2010,Temple,A10,5,7.23,3.67,8.19,B,First Round
2015 Butler,2015,Butler,Big East,6,7.23,4.83,6.82,C,Second Round
2012 Saint Louis,2012,Saint Louis,A10,9,7.23,4.73,7.02,C,Second Round
2015 Northern Iowa,2015,Northern Iowa,MVC,5,7.22,5.07,6.66,A,Second Round
2016 Connecticut,2016,Connecticut,AAC,9,7.22,5.16,6.36,C,Second Round
2008 Indiana,2008,Indiana,Big 10,8,7.22,6.24,5.27,C,First Round
2015 Texas,2015,Texas,Big 12,11,7.22,5.21,6.39,C,First Round
2011 Connecticut,2011,Connecticut,Big East,3,7.21,6,5.54,A,Champion
2010 Florida St.,2010,Florida St.,ACC,9,7.21,3.98,7.74,C,First Round
2019 Buffalo,2019,Buffalo,MAC,6,7.2,6.01,5.45,A,Second Round
2018 Auburn,2018,Auburn,SEC,4,7.2,6.49,5,B,Second Round
2010 Butler,2010,Butler,Horizon,5,7.2,4.81,6.79,B,Runner Up
2009 Marquette,2009,Marquette,Big East,6,7.2,6.95,4.54,B,Second Round
2010 Tennessee,2010,Tennessee,SEC,6,7.2,5,6.5,C,Elite Eight
2008 Texas A&M,2008,Texas A&M,Big 12,9,7.2,5.26,6.37,C,Second Round
2021 Kansas,2021,Kansas,Big 12,3,7.19,5.06,6.52,B,Second Round
2010 Michigan St.,2010,Michigan St.,Big 10,5,7.19,5.59,5.93,C,Final Four
2010 Minnesota,2010,Minnesota,Big 10,11,7.19,5.73,5.76,C,First Round
2021 Purdue,2021,Purdue,Big 10,4,7.19,5.68,5.83,C,First Round
2014 Connecticut,2014,Connecticut,AAC,7,7.18,5.19,6.35,B,Champion
2023 Duke,2023,Duke,ACC,5,7.18,5.65,5.78,C,Second Round
2016 Gonzaga,2016,Gonzaga,WCC,11,7.18,6.24,5.25,C,Sweet 16
2022 Virginia Tech,2022,Virginia Tech,ACC,11,7.18,6.25,5.19,C,First Round
2023 Xavier,2023,Xavier,Big East,3,7.18,6.96,4.47,C,Sweet 16
2024 Kansas,2024,Kansas,Big 12,1,7.18,5.81,5.69,C,Sweet 16
2011 Arizona,2011,Arizona,Pac 12,5,7.17,6.68,4.72,C,Elite Eight
2021 West Virginia,2021,West Virginia,Big 12,3,7.16,6.39,5.04,B,Second Round
2021 LSU,2021,LSU,SEC,8,7.16,7.41,3.94,C,Second Round
2022 Arkansas,2022,Arkansas,SEC,4,7.15,5.21,6.24,B,Elite Eight
2008 Butler,2008,Butler,Horizon,7,7.15,5.55,5.92,C,Second Round
2024 Kentucky,2024,Kentucky,SEC,4,7.14,7.02,4.38,B,Elite Eight
2008 Connecticut,2008,Connecticut,Big East,4,7.14,6.34,5.03,C,First Round
2019 Nevada,2019,Nevada,MWC,7,7.14,5.94,5.4,C,First Round
2008 USC,2008,USC,Pac 12,6,7.14,5.05,6.44,C,First Round
2023 Arkansas,2023,Arkansas,SEC,8,7.13,5.31,6.11,C,Sweet 16
2017 Creighton,2017,Creighton,Big East,6,7.13,6.38,5.01,C,First Round
2008 Notre Dame,2008,Notre Dame,Big East,5,7.13,6.85,4.47,C,Second Round
2019 Maryland,2019,Maryland,Big 10,6,7.12,5.73,5.65,C,Second Round
2012 Louisville,2012,Louisville,Big East,4,7.1,4.12,7.46,B,Final Four
2018 Florida,2018,Florida,SEC,6,7.1,6.09,5.3,C,Second Round
2009 Illinois,2009,Illinois,Big 10,5,7.1,3.91,7.71,C,First Round
2013 Missouri,2013,Missouri,SEC,9,7.1,6.54,4.71,C,First Round
2010 Pittsburgh,2010,Pittsburgh,Big East,3,7.1,4.88,6.54,C,Second Round
2011 UNLV,2011,UNLV,MWC,8,7.1,5.26,6.15,C,First Round
2016 California,2016,California,Pac 12,4,7.09,5.5,5.9,C,First Round
2023 West Virginia,2023,West Virginia,Big 12,9,7.09,6.55,4.77,C,First Round
2015 Iowa,2015,Iowa,Big 10,7,7.08,5.65,5.72,C,Second Round
2018 TCU,2018,TCU,Big 12,6,7.08,7.28,4.01,C,First Round
2008 Drake,2008,Drake,MVC,5,7.07,6.4,5.01,B,First Round
2018 Butler,2018,Butler,Big East,10,7.07,6.19,5.12,C,Second Round
2022 Saint Mary's,2022,Saint Mary's,WCC,5,7.07,4.89,6.51,C,Second Round
2021 St. Bonaventure,2021,St. Bonaventure,A10,9,7.07,5.26,6.14,C,First Round
2014 Cincinnati,2014,Cincinnati,AAC,5,7.06,4.12,7.35,B,First Round
2021 BYU,2021,BYU,WCC,6,7.06,5.71,5.61,C,First Round
2011 Utah St.,2011,Utah St.,WAC,12,7.06,4.75,6.67,C,First Round
2011 Villanova,2011,Villanova,Big East,9,7.06,6.07,5.18,C,First Round
2016 Baylor,2016,Baylor,Big 12,5,7.05,6.65,4.61,C,First Round
2016 Cincinnati,2016,Cincinnati,AAC,9,7.05,4.8,6.5,C,First Round
2013 Saint Mary's,2013,Saint Mary's,WCC,11,7.05,6.52,4.7,C,First Round
2010 Vanderbilt,2010,Vanderbilt,SEC,4,7.05,6.28,4.91,C,First Round
2010 Texas A&M,2010,Texas A&M,Big 12,5,7.04,5.24,6.12,B,Second Round
2011 Vanderbilt,2011,Vanderbilt,SEC,5,7.04,6.45,4.72,C,First Round
2019 Villanova,2019,Villanova,Big East,6,7.03,6.53,4.64,C,Second Round
2021 North Carolina,2021,North Carolina,ACC,8,7.02,5.02,6.25,C,First Round
2022 North Carolina,2022,North Carolina,ACC,8,7.02,5.97,5.18,C,Runner Up
2012 Florida St.,2012,Florida St.,ACC,3,7.01,4.66,6.68,B,Second Round
2011 Georgetown,2011,Georgetown,Big East,6,7.01,5.79,5.43,B,First Round
2014 North Carolina,2014,North Carolina,ACC,6,7.01,5.86,5.31,B,Second Round
2018 Arizona,2018,Arizona,Pac 12,4,7.01,6.96,4.18,C,First Round
2009 BYU,2009,BYU,MWC,8,7.01,6.16,5.15,C,Second Round
2018 Creighton,2018,Creighton,Big East,8,7.01,6.53,4.68,C,First Round
2010 Georgia Tech,2010,Georgia Tech,ACC,10,7,5.14,6.12,C,Second Round
2010 Louisville,2010,Louisville,Big East,9,7,6.44,4.68,C,First Round
2023 Memphis,2023,Memphis,AAC,8,7,5.85,5.38,C,First Round
2023 Kentucky,2023,Kentucky,SEC,6,6.99,6.46,4.69,C,Second Round
2013 Oklahoma St.,2013,Oklahoma St.,Big 12,5,6.99,5.04,6.27,C,First Round
2013 Saint Louis,2013,Saint Louis,A10,4,6.99,4.4,7.01,C,Second Round
2008 Arizona,2008,Arizona,Pac 12,10,6.98,6.19,5.04,B,First Round
2013 Marquette,2013,Marquette,Big East,3,6.98,5.79,5.39,B,Elite Eight
2009 Texas,2009,Texas,Big 12,7,6.98,5.29,5.95,C,Second Round
2019 Florida,2019,Florida,SEC,10,6.97,5.02,6.22,C,Second Round
2023 Iowa St.,2023,Iowa St.,Big 12,6,6.97,4.6,6.68,C,First Round
2009 Tennessee,2009,Tennessee,SEC,9,6.97,6.73,4.31,C,First Round
2023 Texas A&M,2023,Texas A&M,SEC,7,6.97,5.83,5.31,C,First Round
2008 Gonzaga,2008,Gonzaga,WCC,7,6.96,6.08,5.07,C,First Round
2023 Maryland,2023,Maryland,Big 10,8,6.96,5.71,5.41,C,Second Round
2011 Cincinnati,2011,Cincinnati,Big East,6,6.95,4.55,6.74,C,Second Round
2023 Indiana,2023,Indiana,Big 10,4,6.95,5.92,5.16,C,Second Round
2015 West Virginia,2015,West Virginia,Big 12,5,6.95,5.9,5.2,C,Sweet 16
2018 Seton Hall,2018,Seton Hall,Big East,8,6.92,6.41,4.66,C,Second Round
2024 TCU,2024,TCU,Big 12,4,6.92,6.07,5.04,C,Sweet 16
2019 Cincinnati,2019,Cincinnati,AAC,7,6.91,5.38,5.74,B,First Round
2023 Kansas St.,2023,Kansas St.,Big 12,3,6.91,5.33,5.77,B,Elite Eight
2023 TCU,2023,TCU,Big 12,6,6.91,5.32,5.77,C,Second Round
2023 Auburn,2023,Auburn,SEC,9,6.9,5.45,5.64,C,Second Round
2010 Washington,2010,Washington,Pac 12,11,6.9,6.26,4.69,C,Sweet 16
2019 Marquette,2019,Marquette,Big East,5,6.89,5.68,5.36,C,First Round
2013 Wichita St.,2013,Wichita St.,MVC,9,6.89,4.89,6.2,C,Final Four
2024 Oklahoma,2024,Oklahoma,Big 12,5,6.89,5.72,5.36,C,First Round
2024 Florida Atlantic,2024,Florida Atlantic,AAC,8,6.89,6.81,4.23,C,Second Round
2013 Kansas St.,2013,Kansas St.,Big 12,4,6.88,5.29,5.83,B,First Round
2014 Oregon,2014,Oregon,Pac 12,7,6.88,7.29,3.65,C,Second Round
2016 Pittsburgh,2016,Pittsburgh,ACC,10,6.88,5.87,5.16,C,First Round
2022 Alabama,2022,Alabama,SEC,6,6.87,6.45,4.52,C,First Round
2016 Butler,2016,Butler,Big East,9,6.87,6.73,4.26,C,Second Round
2014 Harvard,2014,Harvard,Ivy,12,6.87,5.28,5.74,C,Second Round
2010 Old Dominion,2010,Old Dominion,CAA,11,6.87,3.97,7.22,C,Second Round
2015 Georgetown,2015,Georgetown,Big East,4,6.86,5.61,5.41,C,Second Round
2011 Marquette,2011,Marquette,Big East,11,6.86,6.36,4.6,C,Sweet 16
2023 Virginia,2023,Virginia,ACC,4,6.86,5.22,5.78,C,First Round
2016 Seton Hall,2016,Seton Hall,Big East,6,6.85,5.24,5.79,B,First Round
2009 Oklahoma St.,2009,Oklahoma St.,Big 12,8,6.85,6.99,3.87,C,Second Round
2021 Oregon,2021,Oregon,Pac 12,7,6.85,6.22,4.72,C,Sweet 16
2013 San Diego St.,2013,San Diego St.,MWC,7,6.85,4.65,6.44,C,Second Round
2017 South Carolina,2017,South Carolina,SEC,7,6.85,3.99,7.18,C,Final Four
2012 Belmont,2012,Belmont,ASUN,14,6.84,6.89,3.97,C,First Round
2023 Florida Atlantic,2023,Florida Atlantic,CUSA,9,6.84,5.82,5.14,C,Final Four
2022 Memphis,2022,Memphis,AAC,9,6.84,5.26,5.72,C,Second Round
2011 George Mason,2011,George Mason,CAA,8,6.83,5.53,5.43,C,Second Round
2012 Kansas St.,2012,Kansas St.,Big 12,8,6.83,5.13,5.86,C,Second Round
2024 Villanova,2024,Villanova,Big East,6,6.83,5.84,5.12,C,Second Round
2013 New Mexico,2013,New Mexico,MWC,3,6.82,4.78,6.24,B,First Round
2012 Michigan,2012,Michigan,Big 10,4,6.82,5.22,5.82,C,First Round
2013 NC St.,2013,NC St.,ACC,8,6.82,7.05,3.76,C,First Round
2015 VCU,2015,VCU,A10,7,6.82,5.65,5.21,C,First Round
2017 Marquette,2017,Marquette,Big East,10,6.81,7.41,3.55,C,First Round
2018 Nevada,2018,Nevada,MWC,7,6.81,7.07,3.8,C,Sweet 16
2012 Virginia,2012,Virginia,ACC,10,6.81,3.15,8.04,C,First Round
2012 Alabama,2012,Alabama,SEC,9,6.8,3.64,7.49,C,First Round
2011 Kansas St.,2011,Kansas St.,Big 12,5,6.8,5.14,5.84,C,Second Round
2011 Missouri,2011,Missouri,Big 12,11,6.8,6.49,4.28,C,First Round
2013 North Carolina,2013,North Carolina,ACC,8,6.8,6.18,4.64,C,Second Round
2022 San Francisco,2022,San Francisco,WCC,10,6.8,5.21,5.73,C,First Round
2014 Baylor,2014,Baylor,Big 12,6,6.78,6.38,4.53,C,Sweet 16
2022 Loyola Chicago,2022,Loyola Chicago,MVC,10,6.78,5.12,5.8,C,First Round
2013 Middle Tennessee,2013,Middle Tennessee,Sun Belt,11,6.78,4.47,6.46,C,First Round
2021 UCLA,2021,UCLA,Pac 12,11,6.78,6.13,4.71,C,Final Four
2009 Wisconsin,2009,Wisconsin,Big 10,12,6.78,4.83,6.16,C,Second Round
2024 Texas Tech,2024,Texas Tech,Big 12,11,6.78,6,4.9,C,First Round
2013 Cincinnati,2013,Cincinnati,Big East,10,6.77,4.15,6.84,C,First Round
2011 Clemson,2011,Clemson,ACC,12,6.77,4.39,6.62,C,First Round
2012 Gonzaga,2012,Gonzaga,WCC,7,6.77,5.57,5.27,C,Second Round
2008 Kansas St.,2008,Kansas St.,Big 12,11,6.77,6.13,4.79,C,Second Round
2017 Miami FL,2017,Miami FL,ACC,8,6.77,5.09,5.86,C,First Round
2010 Northern Iowa,2010,Northern Iowa,MVC,9,6.77,3.51,7.61,C,Sweet 16
2013 Notre Dame,2013,Notre Dame,Big East,7,6.77,5.98,4.9,C,First Round
2012 Purdue,2012,Purdue,Big 10,10,6.77,6.29,4.54,C,Second Round
2010 UNLV,2010,UNLV,MWC,8,6.77,5.2,5.69,C,First Round
2017 Wake Forest,2017,Wake Forest,ACC,11,6.77,7.45,3.46,C,First Round
2013 UNLV,2013,UNLV,MWC,5,6.76,4.72,6.22,C,First Round
2010 UTEP,2010,UTEP,CUSA,12,6.76,4.96,5.97,C,First Round
2024 Utah,2024,Utah,Pac 12,8,6.76,6.16,4.77,C,Second Round
2021 Oklahoma St.,2021,Oklahoma St.,Big 12,4,6.75,4.88,6.05,B,Second Round
2022 San Diego St.,2022,San Diego St.,MWC,8,6.75,3.39,7.73,C,First Round
2024 St. John's,2024,St. John's,Big East,7,6.75,6.02,4.89,C,First Round
2013 Iowa St.,2013,Iowa St.,Big 12,10,6.74,7.22,3.47,C,Second Round
2024 Clemson,2024,Clemson,ACC,4,6.74,6.64,4.21,C,Sweet 16
2024 Dayton,2024,Dayton,A10,5,6.74,6.67,4.22,C,First Round
2017 Kansas St.,2017,Kansas St.,Big 12,11,6.73,5.37,5.5,C,First Round
2022 Michigan,2022,Michigan,Big 10,11,6.73,6.09,4.71,C,Sweet 16
2022 Ohio St.,2022,Ohio St.,Big 10,7,6.73,6.58,4.19,C,Second Round
2015 Providence,2015,Providence,Big East,6,6.73,5.58,5.26,C,First Round
2008 Purdue,2008,Purdue,Big 10,6,6.73,4.83,6.1,C,Second Round
2018 Texas A&M,2018,Texas A&M,SEC,7,6.73,5.07,5.79,C,Sweet 16
2018 Florida St.,2018,Florida St.,ACC,9,6.72,6.02,4.77,C,Second Round
2021 Oklahoma,2021,Oklahoma,Big 12,8,6.72,5.52,5.27,C,Second Round
2018 Virginia Tech,2018,Virginia Tech,ACC,8,6.72,6.24,4.5,C,First Round
2024 Mississippi St.,2024,Mississippi St.,SEC,9,6.72,4.99,5.95,C,First Round
2016 Utah,2016,Utah,Pac 12,3,6.71,6.07,4.75,C,Second Round
2024 Saint Mary's,2024,Saint Mary's,WCC,12,6.71,4.93,5.98,C,Second Round
2021 Florida,2021,Florida,SEC,7,6.7,5.34,5.45,C,Second Round
2023 Michigan St.,2023,Michigan St.,Big 10,7,6.7,5.59,5.2,C,Sweet 16
2013 Mississippi,2013,Mississippi,SEC,12,6.7,6.17,4.47,C,Second Round
2019 Saint Mary's,2019,Saint Mary's,WCC,11,6.7,6.09,4.66,C,First Round
2024 Texas A&M,2024,Texas A&M,SEC,9,6.7,6.29,4.47,C,Second Round
2021 Georgia Tech,2021,Georgia Tech,ACC,9,6.69,5.76,5.01,C,First Round
2011 Temple,2011,Temple,A10,7,6.69,4.82,5.98,C,Second Round
2015 BYU,2015,BYU,WCC,11,6.68,7.9,2.7,C,First Round
2008 Mississippi St.,2008,Mississippi St.,SEC,8,6.68,4.78,6,C,Second Round
2016 VCU,2016,VCU,A10,10,6.68,5.36,5.4,C,Second Round
2015 Xavier,2015,Xavier,Big East,6,6.68,6.37,4.37,C,Sweet 16
2023 Illinois,2023,Illinois,Big 10,9,6.67,5.12,5.62,C,First Round
2016 Syracuse,2016,Syracuse,ACC,10,6.67,4.68,6.13,C,Final Four
2009 USC,2009,USC,Pac 12,10,6.67,4.5,6.37,C,Second Round
2013 Memphis,2013,Memphis,CUSA,6,6.66,5.17,5.57,C,Second Round
2010 Saint Mary's,2010,Saint Mary's,WCC,10,6.66,6.46,4.24,C,Sweet 16
2009 Butler,2009,Butler,Big 12,9,6.65,4.57,6.2,C,First Round
2021 Maryland,2021,Maryland,Big 10,10,6.65,5.35,5.38,C,Second Round
2014 Oklahoma,2014,Oklahoma,Big 12,5,6.65,7.26,3.37,C,First Round
2022 Wisconsin,2022,Wisconsin,Big 10,3,6.65,5.1,5.6,C,Second Round
2012 California,2012,California,Pac 12,12,6.64,5.15,5.59,C,Second Round
2023 Miami FL,2023,Miami FL,ACC,5,6.64,6.95,3.69,C,Final Four
2010 Notre Dame,2010,Notre Dame,Big East,6,6.64,6.98,3.74,C,First Round
2019 Oregon,2019,Oregon,Pac 12,12,6.64,4.52,6.18,C,Sweet 16
2015 SMU,2015,SMU,AAC,6,6.64,5.18,5.58,C,First Round
2023 Utah St.,2023,Utah St.,MWC,10,6.64,6.34,4.36,C,First Round
2018 Miami FL,2018,Miami FL,ACC,6,6.63,5.49,5.2,C,First Round
2019 Syracuse,2019,Syracuse,ACC,8,6.63,4.89,5.82,C,First Round
2021 Syracuse,2021,Syracuse,ACC,11,6.63,5.84,4.81,C,Sweet 16
2017 Vanderbilt,2017,Vanderbilt,SEC,9,6.63,5.53,5.17,C,First Round
2013 Colorado St.,2013,Colorado St.,MWC,8,6.62,6.35,4.32,B,Second Round
2009 California,2009,California,ACC,7,6.62,6.62,4.02,C,First Round
2011 Gonzaga,2011,Gonzaga,WCC,11,6.62,5.6,5.03,C,Second Round
2015 Maryland,2015,Maryland,Big 10,4,6.62,5.04,5.65,C,Second Round
2015 Davidson,2015,Davidson,A10,10,6.61,7.49,3.11,C,First Round
2010 New Mexico,2010,New Mexico,MWC,3,6.61,6.06,4.58,C,Second Round
2016 Notre Dame,2016,Notre Dame,ACC,6,6.6,6.61,4.04,C,Elite Eight
2019 Oklahoma,2019,Oklahoma,Big 12,9,6.6,4.83,5.84,C,Second Round
2015 Arkansas,2015,Arkansas,SEC,5,6.59,6.59,3.93,C,Second Round
2023 Iowa,2023,Iowa,Big 10,8,6.59,7.29,3.31,C,First Round
2010 Oklahoma St.,2010,Oklahoma St.,Big 12,7,6.59,5.53,5.13,C,First Round
2012 UNLV,2012,UNLV,MWC,6,6.59,5.72,4.86,C,First Round
2011 Xavier,2011,Xavier,A10,6,6.59,5.43,5.18,C,First Round
2012 Creighton,2012,Creighton,MVC,8,6.58,7.39,3.15,C,Second Round
2019 VCU,2019,VCU,A10,8,6.58,3.51,7.34,C,First Round
2017 Xavier,2017,Xavier,Big East,11,6.58,6.03,4.57,C,Elite Eight
2019 Iowa,2019,Iowa,Big 10,10,6.57,6.68,3.86,C,Second Round
2017 Minnesota,2017,Minnesota,Big 10,5,6.57,4.56,6.13,C,First Round
2021 Rutgers,2021,Rutgers,Big 10,10,6.57,4.52,6.17,C,Second Round
2010 Florida,2010,Florida,SEC,10,6.56,5.55,5,C,First Round
2012 Saint Mary's,2012,Saint Mary's,WCC,7,6.56,5.81,4.73,C,First Round
2012 Texas,2012,Texas,Big 12,11,6.56,5.64,4.9,C,First Round
2019 UCF,2019,UCF,AAC,9,6.56,5.11,5.5,C,Second Round
2022 Murray St.,2022,Murray St.,OVC,7,6.55,5.48,5.05,C,Second Round
2017 Rhode Island,2017,Rhode Island,A10,11,6.55,5.13,5.44,C,Second Round
2016 Texas,2016,Texas,Big 12,6,6.55,5.04,5.61,C,First Round
2015 NC St.,2015,NC St.,ACC,8,6.54,5.84,4.69,C,Sweet 16
2008 Oregon,2008,Oregon,Pac 12,9,6.54,7.28,3.21,C,First Round
2022 Indiana,2022,Indiana,Big 10,12,6.53,4.5,6.14,C,First Round
2009 Ohio St.,2009,Ohio St.,Big 10,8,6.53,5.15,5.45,C,First Round
2013 Belmont,2013,Belmont,OVC,11,6.52,5.53,4.96,C,First Round
2011 Florida St.,2011,Florida St.,ACC,10,6.52,3.64,7.07,C,Sweet 16
2018 Arkansas,2018,Arkansas,SEC,7,6.51,6.5,3.99,C,First Round
2012 Cincinnati,2012,Cincinnati,Big East,6,6.51,4.68,5.9,C,Sweet 16
2012 Iowa St.,2012,Iowa St.,Big 12,8,6.51,5.77,4.73,C,Second Round
2014 Saint Louis,2014,Saint Louis,A10,5,6.51,3.84,6.82,C,Second Round
2018 Texas,2018,Texas,Big 12,10,6.51,4.68,5.89,C,First Round
2014 New Mexico,2014,New Mexico,MWC,7,6.5,5.75,4.76,C,First Round
2023 Northwestern,2023,Northwestern,Big 10,7,6.5,4.51,6.04,C,Second Round
2022 TCU,2022,TCU,Big 12,9,6.5,4.66,5.86,C,Second Round
2012 Temple,2012,Temple,A10,5,6.5,6.15,4.29,C,First Round
2017 Dayton,2017,Dayton,A10,7,6.49,5.29,5.2,C,First Round
