team_year,year,team,region,seed,finish,weekend,conference,logo
2012 Purdue,2012,Purdue,Midwest,10,Second Round,1,Big 10,
2015 Purdue,2015,Purdue,Midwest,9,First Round,1,Big 10,
2016 Purdue,2016,Purdue,Midwest,5,First Round,1,Big 10,
2017 Purdue,2017,Purdue,Midwest,4,Sweet 16,2,Big 10,
2018 Purdue,2018,Purdue,East,2,Sweet 16,2,Big 10,
2019 Purdue,2019,Purdue,South,3,Elite Eight,2,Big 10,
2021 Purdue,2021,Purdue,South,4,First Round,1,Big 10,
2022 Purdue,2022,Purdue,East,3,Sweet 16,2,Big 10,
2023 Purdue,2023,Purdue,East,1,First Round,1,Big 10,
2009 Radford,2009,Radford,South,16,First Round,1,OVC,
2018 Radford,2018,Radford,East,16,First Round,1,Big South,
2017 Rhode Island,2017,Rhode Island,Midwest,11,Second Round,1,A10,
2018 Rhode Island,2018,Rhode Island,Midwest,7,Second Round,1,A10,
2010 Richmond,2010,Richmond,South,7,First Round,1,A10,
2011 Richmond,2011,Richmond,Southwest,12,Sweet 16,2,A10,
2022 Richmond,2022,Richmond,Midwest,12,Second Round,1,A10,
2009 Robert Morris,2009,Robert Morris,Midwest,15,First Round,1,NEC,
2010 Robert Morris,2010,Robert Morris,South,15,First Round,1,NEC,
2015 Robert Morris,2015,Robert Morris,South,16,First Round,1,NEC,
2021 Rutgers,2021,Rutgers,Midwest,10,Second Round,1,Big 10,
2022 Rutgers,2022,Rutgers,West,11,First Round,1,Big 10,
2008 Saint Joseph's,2008,Saint Joseph's,East,11,First Round,1,A10,
2014 Saint Joseph's,2014,Saint Joseph's,East,10,First Round,1,A10,
2016 Saint Joseph's,2016,Saint Joseph's,West,8,Second Round,1,A10,
2012 Saint Louis,2012,Saint Louis,West,9,Second Round,1,A10,
2013 Saint Louis,2013,Saint Louis,Midwest,4,Second Round,1,A10,
2014 Saint Louis,2014,Saint Louis,Midwest,5,Second Round,1,A10,
2019 Saint Louis,2019,Saint Louis,East,13,First Round,1,A10,
2008 Saint Mary's,2008,Saint Mary's,South,10,First Round,1,WCC,
2010 Saint Mary's,2010,Saint Mary's,South,10,Sweet 16,2,WCC,
2012 Saint Mary's,2012,Saint Mary's,Midwest,7,First Round,1,WCC,
2013 Saint Mary's,2013,Saint Mary's,Midwest,11,First Round,1,WCC,
2017 Saint Mary's,2017,Saint Mary's,West,7,Second Round,1,WCC,
2019 Saint Mary's,2019,Saint Mary's,South,11,First Round,1,WCC,
2022 Saint Mary's,2022,Saint Mary's,East,5,Second Round,1,WCC,
2023 Saint Mary's,2023,Saint Mary's,West,5,Second Round,1,WCC,
2011 Saint Peter's,2011,Saint Peter's,Southwest,14,First Round,1,MAAC,
2022 Saint Peter's,2022,Saint Peter's,East,15,Elite Eight,2,MAAC,
2010 Sam Houston St.,2010,Sam Houston St.,South,14,First Round,1,Southland,
2008 San Diego,2008,San Diego,West,13,Second Round,1,WCC,
2010 San Diego St.,2010,San Diego St.,Midwest,11,First Round,1,MWC,
2011 San Diego St.,2011,San Diego St.,West,2,Sweet 16,2,MWC,
2012 San Diego St.,2012,San Diego St.,Midwest,6,First Round,1,MWC,
2013 San Diego St.,2013,San Diego St.,South,7,Second Round,1,MWC,
2014 San Diego St.,2014,San Diego St.,West,4,Sweet 16,2,MWC,
2015 San Diego St.,2015,San Diego St.,South,8,Second Round,1,MWC,
2018 San Diego St.,2018,San Diego St.,West,11,First Round,1,MWC,
2021 San Diego St.,2021,San Diego St.,Midwest,6,First Round,1,MWC,
2022 San Diego St.,2022,San Diego St.,Midwest,8,First Round,1,MWC,
2023 San Diego St.,2023,San Diego St.,South,5,Runner Up,3,MWC,
2022 San Francisco,2022,San Francisco,East,10,First Round,1,WCC,
2016 Seton Hall,2016,Seton Hall,Midwest,6,First Round,1,Big East,
2017 Seton Hall,2017,Seton Hall,South,9,First Round,1,Big East,
2018 Seton Hall,2018,Seton Hall,Midwest,8,Second Round,1,Big East,
2019 Seton Hall,2019,Seton Hall,Midwest,10,First Round,1,Big East,
2022 Seton Hall,2022,Seton Hall,South,8,First Round,1,Big East,
2008 Siena,2008,Siena,Midwest,13,Second Round,1,MAAC,
2009 Siena,2009,Siena,Midwest,9,Second Round,1,MAAC,
2010 Siena,2010,Siena,South,13,First Round,1,MAAC,
2015 SMU,2015,SMU,South,6,First Round,1,AAC,
2017 SMU,2017,SMU,East,6,First Round,1,AAC,
2008 South Alabama,2008,South Alabama,East,10,First Round,1,Sun Belt,
2017 South Carolina,2017,South Carolina,East,7,Final Four,3,SEC,
2012 South Dakota St.,2012,South Dakota St.,South,14,First Round,1,Summit,
2013 South Dakota St.,2013,South Dakota St.,South,13,First Round,1,Summit,
2016 South Dakota St.,2016,South Dakota St.,South,12,First Round,1,Summit,
2017 South Dakota St.,2017,South Dakota St.,West,16,First Round,1,Summit,
2018 South Dakota St.,2018,South Dakota St.,West,12,First Round,1,Summit,
2022 South Dakota St.,2022,South Dakota St.,Midwest,13,First Round,1,Summit,
2012 South Florida,2012,South Florida,Midwest,12,First Round,1,Big East,
2023 Southeast Missouri St.,2023,Southeast Missouri St.,South,16,First Round,1,OVC,
2013 Southern,2013,Southern,West,16,First Round,1,SWAC,
2016 Southern,2016,Southern,West,16,First Round,1,SWAC,
2012 Southern Miss,2012,Southern Miss,East,9,First Round,1,CUSA,
2012 St. Bonaventure,2012,St. Bonaventure,East,14,First Round,1,A10,
2018 St. Bonaventure,2018,St. Bonaventure,East,11,First Round,1,A10,
2021 St. Bonaventure,2021,St. Bonaventure,East,9,First Round,1,A10,
2011 St. John's,2011,St. John's,Southeast,6,First Round,1,Big East,
2015 St. John's,2015,St. John's,South,9,First Round,1,Big East,
2019 St. John's,2019,St. John's,West,11,First Round,1,Big East,
2008 Stanford,2008,Stanford,South,3,Sweet 16,2,Pac 12,
2014 Stanford,2014,Stanford,South,10,Sweet 16,2,Pac 12,
2009 Stephen F. Austin,2009,Stephen F. Austin,South,14,First Round,1,Southland,
2014 Stephen F. Austin,2014,Stephen F. Austin,South,12,Second Round,1,Southland,
2015 Stephen F. Austin,2015,Stephen F. Austin,South,12,First Round,1,Southland,
2016 Stephen F. Austin,2016,Stephen F. Austin,East,14,Second Round,1,Southland,
2018 Stephen F. Austin,2018,Stephen F. Austin,East,14,First Round,1,Southland,
2016 Stony Brook,2016,Stony Brook,East,13,First Round,1,America East,
2009 Syracuse,2009,Syracuse,South,3,Sweet 16,2,Big East,
2010 Syracuse,2010,Syracuse,West,1,Sweet 16,2,Big East,
2011 Syracuse,2011,Syracuse,East,3,Second Round,1,Big East,
2012 Syracuse,2012,Syracuse,East,1,Elite Eight,2,Big East,
2013 Syracuse,2013,Syracuse,East,4,Final Four,3,Big East,
2014 Syracuse,2014,Syracuse,South,3,Second Round,1,ACC,
2016 Syracuse,2016,Syracuse,Midwest,10,Final Four,3,ACC,
2018 Syracuse,2018,Syracuse,Midwest,11,Sweet 16,2,ACC,
2019 Syracuse,2019,Syracuse,West,8,First Round,1,ACC,
2021 Syracuse,2021,Syracuse,Midwest,11,Sweet 16,2,ACC,
2018 TCU,2018,TCU,Midwest,6,First Round,1,Big 12,
2022 TCU,2022,TCU,South,9,Second Round,1,Big 12,
2023 TCU,2023,TCU,West,6,Second Round,1,Big 12,
2008 Temple,2008,Temple,South,12,First Round,1,A10,
2009 Temple,2009,Temple,South,11,First Round,1,A10,
2010 Temple,2010,Temple,East,5,First Round,1,A10,
2011 Temple,2011,Temple,West,7,Second Round,1,A10,
2012 Temple,2012,Temple,Midwest,5,First Round,1,A10,
2013 Temple,2013,Temple,East,9,Second Round,1,A10,
2016 Temple,2016,Temple,South,10,First Round,1,AAC,
2019 Temple,2019,Temple,East,11,First Round,1,AAC,
2008 Tennessee,2008,Tennessee,East,2,Sweet 16,2,SEC,
2009 Tennessee,2009,Tennessee,East,9,First Round,1,SEC,
2010 Tennessee,2010,Tennessee,Midwest,6,Elite Eight,2,SEC,
2011 Tennessee,2011,Tennessee,West,9,First Round,1,SEC,
2014 Tennessee,2014,Tennessee,Midwest,11,Sweet 16,2,SEC,
2018 Tennessee,2018,Tennessee,South,3,Second Round,1,SEC,
2019 Tennessee,2019,Tennessee,South,2,Sweet 16,2,SEC,
2021 Tennessee,2021,Tennessee,Midwest,5,First Round,1,SEC,
2022 Tennessee,2022,Tennessee,South,3,Second Round,1,SEC,
2023 Tennessee,2023,Tennessee,East,4,Sweet 16,2,SEC,
2008 Texas,2008,Texas,South,2,Elite Eight,2,Big 12,
2009 Texas,2009,Texas,East,7,Second Round,1,Big 12,
2010 Texas,2010,Texas,East,8,First Round,1,Big 12,
2011 Texas,2011,Texas,West,4,Second Round,1,Big 12,
2012 Texas,2012,Texas,East,11,First Round,1,Big 12,
2014 Texas,2014,Texas,Midwest,7,Second Round,1,Big 12,
2015 Texas,2015,Texas,Midwest,11,First Round,1,Big 12,
2016 Texas,2016,Texas,West,6,First Round,1,Big 12,
2018 Texas,2018,Texas,South,10,First Round,1,Big 12,
2021 Texas,2021,Texas,East,3,First Round,1,Big 12,
2022 Texas,2022,Texas,East,6,Second Round,1,Big 12,
2023 Texas,2023,Texas,Midwest,2,Elite Eight,2,Big 12,
2008 Texas A&M,2008,Texas A&M,West,9,Second Round,1,Big 12,
2009 Texas A&M,2009,Texas A&M,West,9,First Round,1,Big 12,
2010 Texas A&M,2010,Texas A&M,South,5,Second Round,1,Big 12,
2011 Texas A&M,2011,Texas A&M,Southwest,7,First Round,1,Big 12,
2016 Texas A&M,2016,Texas A&M,West,3,Sweet 16,2,SEC,
2018 Texas A&M,2018,Texas A&M,West,7,Sweet 16,2,SEC,
2023 Texas A&M,2023,Texas A&M,Midwest,7,First Round,1,SEC,
2022 Texas A&M Corpus Chris,2022,Texas A&M Corpus Chris,Midwest,16,First Round,1,Southland,
2023 Texas A&M Corpus Chris,2023,Texas A&M Corpus Chris,South,16,First Round,1,Southland,
2014 Texas Southern,2014,Texas Southern,Midwest,16,First Round,1,SWAC,
2015 Texas Southern,2015,Texas Southern,West,15,First Round,1,SWAC,
2017 Texas Southern,2017,Texas Southern,South,16,First Round,1,SWAC,
2018 Texas Southern,2018,Texas Southern,West,16,First Round,1,SWAC,
2021 Texas Southern,2021,Texas Southern,East,16,First Round,1,SWAC,
2022 Texas Southern,2022,Texas Southern,Midwest,16,First Round,1,SWAC,
2023 Texas Southern,2023,Texas Southern,East,16,First Round,1,SWAC,
2016 Texas Tech,2016,Texas Tech,Midwest,8,First Round,1,Big 12,
2018 Texas Tech,2018,Texas Tech,East,3,Elite Eight,2,Big 12,
2019 Texas Tech,2019,Texas Tech,West,3,Runner Up,3,Big 12,
2021 Texas Tech,2021,Texas Tech,South,6,Second Round,1,Big 12,
2022 Texas Tech,2022,Texas Tech,West,3,Sweet 16,2,Big 12,
2017 Troy,2017,Troy,East,15,First Round,1,Sun Belt,
2014 Tulsa,2014,Tulsa,South,13,First Round,1,CUSA,
2016 Tulsa,2016,Tulsa,East,11,First Round,1,AAC,
2011 UAB,2011,UAB,East,12,First Round,1,CUSA,
2015 UAB,2015,UAB,South,14,Second Round,1,CUSA,
2022 UAB,2022,UAB,South,12,First Round,1,CUSA,
2017 UC Davis,2017,UC Davis,Midwest,16,First Round,1,Big West,
2015 UC Irvine,2015,UC Irvine,East,13,First Round,1,Big West,
2019 UC Irvine,2019,UC Irvine,South,13,Second Round,1,Big West,
2010 UC Santa Barbara,2010,UC Santa Barbara,Midwest,15,First Round,1,Big West,
2011 UC Santa Barbara,2011,UC Santa Barbara,Southeast,15,First Round,1,Big West,
2021 UC Santa Barbara,2021,UC Santa Barbara,West,12,First Round,1,Big West,
2023 UC Santa Barbara,2023,UC Santa Barbara,South,14,First Round,1,Big West,
2019 UCF,2019,UCF,East,9,Second Round,1,AAC,
2008 UCLA,2008,UCLA,West,1,Final Four,3,Pac 12,
2009 UCLA,2009,UCLA,East,6,Second Round,1,Pac 12,
2011 UCLA,2011,UCLA,Southeast,7,Second Round,1,Pac 12,
2013 UCLA,2013,UCLA,South,6,First Round,1,Pac 12,
2014 UCLA,2014,UCLA,South,4,Sweet 16,2,Pac 12,
2015 UCLA,2015,UCLA,South,11,Sweet 16,2,Pac 12,
2017 UCLA,2017,UCLA,South,3,Sweet 16,2,Pac 12,
2018 UCLA,2018,UCLA,East,11,First Round,1,Pac 12,
2021 UCLA,2021,UCLA,East,11,Final Four,3,Pac 12,
2022 UCLA,2022,UCLA,East,4,Sweet 16,2,Pac 12,
2023 UCLA,2023,UCLA,West,2,Sweet 16,2,Pac 12,
2008 UMBC,2008,UMBC,Midwest,15,First Round,1,America East,
2018 UMBC,2018,UMBC,South,16,Second Round,1,America East,
2011 UNC Asheville,2011,UNC Asheville,Southeast,16,First Round,1,Big South,
2012 UNC Asheville,2012,UNC Asheville,East,16,First Round,1,Big South,
2016 UNC Asheville,2016,UNC Asheville,South,15,First Round,1,Big South,
2023 UNC Asheville,2023,UNC Asheville,West,15,First Round,1,Big South,
2018 UNC Greensboro,2018,UNC Greensboro,West,13,First Round,1,Southern,
2021 UNC Greensboro,2021,UNC Greensboro,East,13,First Round,1,Southern,
2016 UNC Wilmington,2016,UNC Wilmington,West,13,First Round,1,CAA,
2017 UNC Wilmington,2017,UNC Wilmington,East,12,First Round,1,CAA,
2008 UNLV,2008,UNLV,Midwest,8,Second Round,1,MWC,
2010 UNLV,2010,UNLV,Midwest,8,First Round,1,MWC,
2011 UNLV,2011,UNLV,Southwest,8,First Round,1,MWC,
2012 UNLV,2012,UNLV,South,6,First Round,1,MWC,
2013 UNLV,2013,UNLV,East,5,First Round,1,MWC,
2008 USC,2008,USC,Midwest,6,First Round,1,Pac 12,
2009 USC,2009,USC,Midwest,10,Second Round,1,Pac 12,
2011 USC,2011,USC,Southwest,11,First Round,1,Pac 12,
2016 USC,2016,USC,East,8,First Round,1,Pac 12,
2017 USC,2017,USC,East,11,Second Round,1,Pac 12,
2021 USC,2021,USC,West,6,Elite Eight,2,Pac 12,
2022 USC,2022,USC,Midwest,7,First Round,1,Pac 12,
2023 USC,2023,USC,East,10,First Round,1,Pac 12,
2008 UT Arlington,2008,UT Arlington,South,16,First Round,1,Southland,
2009 Utah,2009,Utah,Midwest,5,First Round,1,MWC,
2015 Utah,2015,Utah,South,5,Sweet 16,2,Pac 12,
2016 Utah,2016,Utah,Midwest,3,Second Round,1,Pac 12,
2009 Utah St.,2009,Utah St.,West,11,First Round,1,WAC,
2010 Utah St.,2010,Utah St.,South,12,First Round,1,WAC,
2011 Utah St.,2011,Utah St.,Southeast,12,First Round,1,WAC,
2019 Utah St.,2019,Utah St.,Midwest,8,First Round,1,MWC,
2021 Utah St.,2021,Utah St.,South,11,First Round,1,MWC,
2023 Utah St.,2023,Utah St.,South,10,First Round,1,MWC,
2010 UTEP,2010,UTEP,West,12,First Round,1,CUSA,
2011 UTSA,2011,UTSA,East,16,First Round,1,Southland,
2013 Valparaiso,2013,Valparaiso,Midwest,14,First Round,1,Horizon,
2015 Valparaiso,2015,Valparaiso,Midwest,13,First Round,1,Horizon,
2008 Vanderbilt,2008,Vanderbilt,Midwest,4,First Round,1,SEC,
2010 Vanderbilt,2010,Vanderbilt,West,4,First Round,1,SEC,
2011 Vanderbilt,2011,Vanderbilt,Southwest,5,First Round,1,SEC,
2012 Vanderbilt,2012,Vanderbilt,East,5,Second Round,1,SEC,
2016 Vanderbilt,2016,Vanderbilt,South,11,First Round,1,SEC,
2017 Vanderbilt,2017,Vanderbilt,West,9,First Round,1,SEC,
2009 VCU,2009,VCU,East,11,First Round,1,CAA,
2011 VCU,2011,VCU,Southwest,11,Final Four,3,CAA,
2012 VCU,2012,VCU,South,12,Second Round,1,CAA,
2013 VCU,2013,VCU,South,5,Second Round,1,A10,
2014 VCU,2014,VCU,South,5,First Round,1,A10,
2015 VCU,2015,VCU,West,7,First Round,1,A10,
2016 VCU,2016,VCU,West,10,Second Round,1,A10,
2017 VCU,2017,VCU,West,10,First Round,1,A10,
2019 VCU,2019,VCU,East,8,First Round,1,A10,
2021 VCU,2021,VCU,West,10,First Round,1,A10,
2023 VCU,2023,VCU,West,12,First Round,1,A10,
2010 Vermont,2010,Vermont,West,16,First Round,1,America East,
2012 Vermont,2012,Vermont,Midwest,16,First Round,1,America East,
2017 Vermont,2017,Vermont,Midwest,13,First Round,1,America East,
2019 Vermont,2019,Vermont,West,13,First Round,1,America East,
2022 Vermont,2022,Vermont,West,13,First Round,1,America East,
2023 Vermont,2023,Vermont,East,15,First Round,1,America East,
2008 Villanova,2008,Villanova,Midwest,12,Sweet 16,2,Big East,
2009 Villanova,2009,Villanova,East,3,Final Four,3,Big East,
2010 Villanova,2010,Villanova,South,2,Second Round,1,Big East,
2011 Villanova,2011,Villanova,East,9,First Round,1,Big East,
2013 Villanova,2013,Villanova,South,9,First Round,1,Big East,
2014 Villanova,2014,Villanova,East,2,Second Round,1,Big East,
2015 Villanova,2015,Villanova,East,1,Second Round,1,Big East,
2016 Villanova,2016,Villanova,South,2,Champion,3,Big East,
2017 Villanova,2017,Villanova,East,1,Second Round,1,Big East,
2018 Villanova,2018,Villanova,East,1,Champion,3,Big East,
2019 Villanova,2019,Villanova,South,6,Second Round,1,Big East,
2021 Villanova,2021,Villanova,South,5,Sweet 16,2,Big East,
2022 Villanova,2022,Villanova,South,2,Final Four,3,Big East,
2012 Virginia,2012,Virginia,West,10,First Round,1,ACC,
2014 Virginia,2014,Virginia,East,1,Sweet 16,2,ACC,
2015 Virginia,2015,Virginia,East,2,Second Round,1,ACC,
2016 Virginia,2016,Virginia,Midwest,1,Elite Eight,2,ACC,
2017 Virginia,2017,Virginia,East,5,Second Round,1,ACC,
2018 Virginia,2018,Virginia,South,1,First Round,1,ACC,
2019 Virginia,2019,Virginia,South,1,Champion,3,ACC,
2021 Virginia,2021,Virginia,West,4,First Round,1,ACC,
2023 Virginia,2023,Virginia,South,4,First Round,1,ACC,
2017 Virginia Tech,2017,Virginia Tech,East,9,First Round,1,ACC,
2018 Virginia Tech,2018,Virginia Tech,East,8,First Round,1,ACC,
2019 Virginia Tech,2019,Virginia Tech,East,4,Sweet 16,2,ACC,
2021 Virginia Tech,2021,Virginia Tech,South,10,First Round,1,ACC,
2022 Virginia Tech,2022,Virginia Tech,East,11,First Round,1,ACC,
2009 Wake Forest,2009,Wake Forest,Midwest,4,First Round,1,ACC,
2010 Wake Forest,2010,Wake Forest,East,9,Second Round,1,ACC,
2017 Wake Forest,2017,Wake Forest,South,11,First Round,1,ACC,
2009 Washington,2009,Washington,West,4,Second Round,1,Pac 12,
2010 Washington,2010,Washington,East,11,Sweet 16,2,Pac 12,
2011 Washington,2011,Washington,East,7,Second Round,1,Pac 12,
2019 Washington,2019,Washington,Midwest,9,Second Round,1,Pac 12,
2008 Washington St.,2008,Washington St.,East,4,Sweet 16,2,Pac 12,
2014 Weber St.,2014,Weber St.,West,16,First Round,1,Big Sky,
2016 Weber St.,2016,Weber St.,East,15,First Round,1,Big Sky,
2008 West Virginia,2008,West Virginia,West,7,Sweet 16,2,Big East,
2009 West Virginia,2009,West Virginia,Midwest,6,First Round,1,Big East,
2010 West Virginia,2010,West Virginia,East,2,Final Four,3,Big East,
2011 West Virginia,2011,West Virginia,East,5,Second Round,1,Big East,
2012 West Virginia,2012,West Virginia,East,10,First Round,1,Big East,
2015 West Virginia,2015,West Virginia,Midwest,5,Sweet 16,2,Big 12,
2016 West Virginia,2016,West Virginia,East,3,First Round,1,Big 12,
2017 West Virginia,2017,West Virginia,West,4,Sweet 16,2,Big 12,
2018 West Virginia,2018,West Virginia,East,5,Sweet 16,2,Big 12,
2021 West Virginia,2021,West Virginia,Midwest,3,Second Round,1,Big 12,
2023 West Virginia,2023,West Virginia,South,9,First Round,1,Big 12,
2008 Western Kentucky,2008,Western Kentucky,West,12,Sweet 16,2,Sun Belt,
2009 Western Kentucky,2009,Western Kentucky,South,12,Second Round,1,Sun Belt,
2012 Western Kentucky,2012,Western Kentucky,South,16,First Round,1,Sun Belt,
2013 Western Kentucky,2013,Western Kentucky,South,16,First Round,1,Sun Belt,
2014 Western Michigan,2014,Western Michigan,South,14,First Round,1,MAC,
2012 Wichita St.,2012,Wichita St.,South,5,First Round,1,MVC,
2013 Wichita St.,2013,Wichita St.,West,9,Final Four,3,MVC,
2014 Wichita St.,2014,Wichita St.,Midwest,1,Second Round,1,MVC,
2015 Wichita St.,2015,Wichita St.,Midwest,7,Sweet 16,2,MVC,
2016 Wichita St.,2016,Wichita St.,South,11,Second Round,1,MVC,
2017 Wichita St.,2017,Wichita St.,South,10,Second Round,1,MVC,
2018 Wichita St.,2018,Wichita St.,East,4,First Round,1,AAC,
2021 Wichita St.,2021,Wichita St.,West,11,First Round,1,AAC,
2008 Winthrop,2008,Winthrop,East,13,First Round,1,Big South,
2010 Winthrop,2010,Winthrop,South,16,First Round,1,Big South,
2017 Winthrop,2017,Winthrop,South,13,First Round,1,Big South,
2021 Winthrop,2021,Winthrop,South,12,First Round,1,Big South,
2008 Wisconsin,2008,Wisconsin,Midwest,3,Sweet 16,2,Big 10,
2009 Wisconsin,2009,Wisconsin,East,12,Second Round,1,Big 10,
2010 Wisconsin,2010,Wisconsin,East,4,Second Round,1,Big 10,
2011 Wisconsin,2011,Wisconsin,Southeast,4,Sweet 16,2,Big 10,
2012 Wisconsin,2012,Wisconsin,East,4,Sweet 16,2,Big 10,
2013 Wisconsin,2013,Wisconsin,West,5,First Round,1,Big 10,
2014 Wisconsin,2014,Wisconsin,West,2,Final Four,3,Big 10,
2015 Wisconsin,2015,Wisconsin,West,1,Runner Up,3,Big 10,
2016 Wisconsin,2016,Wisconsin,East,7,Sweet 16,2,Big 10,
2017 Wisconsin,2017,Wisconsin,East,8,Sweet 16,2,Big Ten,
2019 Wisconsin,2019,Wisconsin,South,5,First Round,1,Big 10,
2021 Wisconsin,2021,Wisconsin,South,9,Second Round,1,Big 10,
2022 Wisconsin,2022,Wisconsin,Midwest,3,Second Round,1,Big 10,
2010 Wofford,2010,Wofford,East,13,First Round,1,Southern,
2011 Wofford,2011,Wofford,Southeast,14,First Round,1,Southern,
2014 Wofford,2014,Wofford,Midwest,15,First Round,1,Southern,
2015 Wofford,2015,Wofford,West,12,First Round,1,Southern,
2019 Wofford,2019,Wofford,Midwest,7,Second Round,1,Southern,
2018 Wright St.,2018,Wright St.,South,14,First Round,1,Horizon,
2022 Wright St.,2022,Wright St.,South,16,First Round,1,Horizon,
2015 Wyoming,2015,Wyoming,East,12,First Round,1,MWC,
2022 Wyoming,2022,Wyoming,East,12,First Round,1,MWC,
2008 Xavier,2008,Xavier,West,3,Elite Eight,2,A10,
2009 Xavier,2009,Xavier,East,4,Sweet 16,2,A10,
2010 Xavier,2010,Xavier,West,6,Sweet 16,2,A10,
2011 Xavier,2011,Xavier,East,6,First Round,1,A10,
2012 Xavier,2012,Xavier,South,10,Sweet 16,2,A10,
2014 Xavier,2014,Xavier,Midwest,12,First Round,1,Big East,
2015 Xavier,2015,Xavier,West,6,Sweet 16,2,Big East,
2016 Xavier,2016,Xavier,East,2,Second Round,1,Big East,
2017 Xavier,2017,Xavier,West,11,Elite Eight,2,Big East,
2018 Xavier,2018,Xavier,West,1,Second Round,1,Big East,
2023 Xavier,2023,Xavier,Midwest,3,Sweet 16,2,Big East,
2016 Yale,2016,Yale,West,12,Second Round,1,Ivy,
2019 Yale,2019,Yale,East,14,First Round,1,Ivy,
2022 Yale,2022,Yale,East,14,First Round,1,Ivy,