team_year,year,team,team,region,seed,finish,conference,logo
2024 Purdue,2024,Purdue,Purdue,Midwest,1,In Progress,Big 10,
2024 Tennessee,2024,Tennessee,Tennessee,Midwest,2,In Progress,SEC,
2024 Baylor,2024,Baylor,Baylor,Midwest,3,In Progress,Big 12,
2024 Clemson,2024,Clemson,Clemson,Midwest,4,In Progress,ACC,
2024 Dayton,2024,Dayton,Dayton,Midwest,5,In Progress,A10,
2024 Villanova,2024,Villanova,Villanova,Midwest,6,In Progress,Big East,
2024 Colorado St.,2024,Colorado St.,Colorado St.,Midwest,7,In Progress,MWC,
2024 South Carolina,2024,South Carolina,South Carolina,Midwest,8,In Progress,SEC,
2024 Miami FL,2024,Miami FL,Miami FL,Midwest,9,In Progress,ACC,
2024 Nebraska,2024,Nebraska,Nebraska,Midwest,10,In Progress,Big 10,
2024 Oregon,2024,Oregon,Oregon,Midwest,11,In Progress,Pac 12,
2024 Saint Mary's,2024,Saint Mary's,Saint Mary's,Midwest,12,In Progress,WCC,
2024 Samford,2024,Samford,Samford,Midwest,13,In Progress,Southern,
2024 Eastern Washington,2024,Eastern Washington,Eastern Washington,Midwest,14,In Progress,Big Sky,
2024 Southern,2024,Southern,Southern,Midwest,15,In Progress,SWAC,
2024 North Carolina Central,2024,North Carolina Central,North Carolina Central,Midwest,16,In Progress,MEAC,
2024 Lafayette,2024,Lafayette,Lafayette,Midwest,16,In Progress,Patriot,
2024 Connecticut,2024,Connecticut,Connecticut,East,1,In Progress,Big East,
2024 Wisconsin,2024,Wisconsin,Wisconsin,East,2,In Progress,Big 10,
2024 Duke,2024,Duke,Duke,East,3,In Progress,ACC,
2024 TCU,2024,TCU,TCU,East,4,In Progress,Big 12,
2024 Mississippi,2024,Mississippi,Mississippi,East,5,In Progress,SEC,
2024 San Diego St.,2024,San Diego St.,San Diego St.,East,6,In Progress,MWC,
2024 Creighton,2024,Creighton,Creighton,East,7,In Progress,Big East,
2024 Boise St.,2024,Boise St.,Boise St.,East,8,In Progress,MWC,
2024 Texas A&M,2024,Texas A&M,Texas A&M,East,9,In Progress,SEC,
2024 Wake Forest,2024,Wake Forest,Wake Forest,East,10,In Progress,ACC,
2024 Kansas St.,2024,Kansas St.,Kansas St.,East,11,In Progress,Big 12,
2024 Ohio St.,2024,Ohio St.,Ohio St.,East,11,In Progress,Big 10,
2024 McNeese St.,2024,McNeese St.,McNeese St.,East,12,In Progress,Southland,
2024 Drexel,2024,Drexel,Drexel,East,13,In Progress,CAA,
2024 High Point,2024,High Point,High Point,East,14,In Progress,Big South,
2024 Sam Houston St.,2024,Sam Houston St.,Sam Houston St.,East,15,In Progress,CUSA,
2024 Saint Peter's,2024,Saint Peter's,Saint Peter's,East,16,In Progress,MAAC,
2024 Kansas,2024,Kansas,Kansas,South,1,In Progress,Big 12,
2024 North Carolina,2024,North Carolina,North Carolina,South,2,In Progress,ACC,
2024 Illinois,2024,Illinois,Illinois,South,3,In Progress,Big 10,
2024 Kentucky,2024,Kentucky,Kentucky,South,4,In Progress,SEC,
2024 Oklahoma,2024,Oklahoma,Oklahoma,South,5,In Progress,Big 12,
2024 Auburn,2024,Auburn,Auburn,South,6,In Progress,SEC,
2024 Utah St.,2024,Utah St.,Utah St.,South,7,In Progress,MWC,
2024 Utah,2024,Utah,Utah,South,8,In Progress,Pac 12,
2024 Mississippi St.,2024,Mississippi St.,Mississippi St.,South,9,In Progress,SEC,
2024 Northwestern,2024,Northwestern,Northwestern,South,10,In Progress,Big 10,
2024 Providence,2024,Providence,Providence,South,11,In Progress,Big East,
2024 Texas Tech,2024,Texas Tech,Texas Tech,South,11,In Progress,Big 12,
2024 Indiana St.,2024,Indiana St.,Indiana St.,South,12,In Progress,MVC,
2024 UC Irvine,2024,UC Irvine,UC Irvine,South,13,In Progress,Big West,
2024 Vermont,2024,Vermont,Vermont,South,14,In Progress,America East,
2024 Troy,2024,Troy,Troy,South,15,In Progress,Sun Belt,
2024 Merrimack,2024,Merrimack,Merrimack,South,16,In Progress,NEC,
2024 Western Illinois,2024,Western Illinois,Western Illinois,South,16,In Progress,OVC,
2024 Houston,2024,Houston,Houston,West,1,In Progress,Big 12,
2024 Arizona,2024,Arizona,Arizona,West,2,In Progress,Pac 12,
2024 Memphis,2024,Memphis,Memphis,West,3,In Progress,AAC,
2024 Marquette,2024,Marquette,Marquette,West,4,In Progress,Big East,
2024 Alabama,2024,Alabama,Alabama,West,5,In Progress,SEC,
2024 Iowa St.,2024,Iowa St.,Iowa St.,West,6,In Progress,Big 12,
2024 St. John's,2024,St. John's,St. John's,West,7,In Progress,Big East,
2024 Florida Atlantic,2024,Florida Atlantic,Florida Atlantic,West,8,In Progress,AAC,
2024 Seton Hall,2024,Seton Hall,Seton Hall,West,9,In Progress,Big East,
2024 BYU,2024,BYU,BYU,West,10,In Progress,Big 12,
2024 Grand Canyon,2024,Grand Canyon,Grand Canyon,West,11,In Progress,WAC,
2024 Princeton,2024,Princeton,Princeton,West,12,In Progress,Ivy,
2024 Akron,2024,Akron,Akron,West,13,In Progress,MAC,
2024 Oakland,2024,Oakland,Oakland,West,14,In Progress,Horizon,
2024 Denver,2024,Denver,Denver,West,15,In Progress,Summit,
2024 Kennesaw St.,2024,Kennesaw St.,Kennesaw St.,West,16,In Progress,ASUN,